#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2026-02-26T09:20:33 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-26T09:20:33	  Query execution date
#INFO	request=https://vizier.u-strasbg.fr/viz-bin/asu-tsv?-source=J/ApJ/856/23/members&-out.all=1	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable
#INFO	MaxTuples=50000	

#RESOURCE=yCat_18560023
#Name: J/ApJ/856/23
#Title: BANYAN. XI. The BANYAN {Sigma} algorithm (Gagne+, 2018)
#INFO	ivoid=ivo://cds.vizier/j/apj/856/23	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/856/23	    IVOID of underlying data collection
#INFO	creator=Gagne J.	    First author or institution
#INFO	cites=bibcode:2018ApJ...856...23G	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2018	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/856/23	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18560023	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-01-11	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_856_23_members:
#Name: J/ApJ/856/23/members
#Title: Literature compilation of bona fide members (tables 5 and 7)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Assoc	(a6)	Association short name (G1)	[ucd=meta.id.parent]
#Column	Main	(a27)	Main designation	[ucd=meta.id;meta.main]
#Column	SpT	(a13)	Spectral Type	[ucd=src.spType]
#Column	RAJ2000	(A11)	[0/23]? Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	? Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F7.2)	[-604/435]? Proper motion in RA, pm*cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F5.2)	[0.02/20]? Uncertainty on pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F7.2)	[-729/356]? Proper motion in DE	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F5.2)	[0.01/20]? Uncertainty on pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	RVel	(F6.2)	[-23.7/45]? Radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RVel	(F5.2)	[0.03/7]? Uncertainty on RVel	[ucd=stat.error;spect.dopplerVeloc]
#Column	Dist	(F6.2)	[7.1/210]? Trigonometric distance	[ucd=pos.distance;pos.heliocentric]
#Column	e_Dist	(F5.2)	[0/30]? Uncertainty on Dist	[ucd=stat.error]
#Column	Comp	(A11)	Companion Flag (G2)	[ucd=meta.code.error]
#Column	r_SpT	(I3)	? Reference for spectral type (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	r_pm	(I3)	? Reference for proper motion (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	r_RVel	(a10)	Reference(s) for radial velocity (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	r_Dist	(I3)	? Reference for trigonometric distance (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	2MASS	(A17)	2MASS designation (JHHMMSSss+DDMMSSs)	[ucd=meta.id.cross]
#Column	WISEA	(A19)	ALLWISE designation (JHHMMSS.ss+DDMMSS.s)	[ucd=meta.id.cross]
#Column	Gaia	(I19)	? Gaia-DR1 Source ID (<Gaia DR1 NNNNNNNNNNNNNNNNNNN> in Simbad)	[ucd=meta.id.cross]
#Column	OName	(a42)	Other name(s), separated by ";"	[ucd=meta.id]
#Column	SimbadName	(a26)	Simbad column added by the CDS	[ucd=meta.id]
recno	Assoc	Main	SpT	RAJ2000	DEJ2000	pmRA	e_pmRA	pmDE	e_pmDE	RVel	e_RVel	Dist	e_Dist	Comp	r_SpT	r_pm	r_RVel	r_Dist	2MASS	WISEA	Gaia	OName	SimbadName
    1328	PLE   	HD 23886                   	A3V          	03 49 26.01	+24 14 51.0	  20.80	 0.40	 -45.70	 0.40	  9.00	 5.00	136.00	 6.00	           	   	  5	 80       	  5	J03492598+2414516	J034925.99+241451.2	  66555981449928832	DANCe J034925.98+241451.7                 	HD 23886
    1329	PLE   	2MASS J03492873+2342440    	             	03 49 28.76	+23 42 43.2	  18.70	 0.50	 -45.50	 0.50	  5.70	 0.20	140.00	20.00	           	   	255	100       	255	J03492873+2342440	J034928.75+234243.4	  66499150442722176	DANCe J034928.76+234243.6                 	2MASS J03492873+2342440
    1330	PLE   	HD 23912                   	F3V          	03 49 32.75	+23 22 48.8	  19.90	 0.70	 -43.90	 0.50	  2.00	 5.00	135.00	 5.00	           	   	  5	 80       	  5	J03493272+2322494	J034932.73+232249.0	  64930490947667840	                                          	HD 23912
    1331	PLE   	HD 23913                   	B9           	03 49 38.20	+22 31 59.9	  18.17	 0.04	 -44.55	 0.02	  4.00	 3.00	131.00	 7.00	           	   	  5	 20       	  5	J03493818+2232007	J034938.19+223200.1	  64109911675780224	DANCe J034938.18+223200.5                 	HD 23913
    1332	PLE   	Cl Melotte 22 2406         	G1           	03 49 39.42	+23 17 23.7	  18.50	 0.90	 -44.30	 0.50	  6.30	 0.20	134.00	 5.00	           	263	  5	100       	  5	J03493939+2317244	J034939.41+231723.9	  64928601162063744	                                          	Cl Melotte 22 2406
    1333	PLE   	HD 23924                   	A7V          	03 49 40.94	+23 20 29.0	  19.30	 0.50	 -44.80	 0.50	  7.00	 2.00	139.00	 6.00	           	   	  5	 80       	  5	J03494092+2320298	J034940.93+232029.2	  64929391436043264	DANCe J034940.92+232029.7                 	HD 23924
    1334	PLE   	HD 23923                   	B8V          	03 49 43.55	+23 42 42.0	  18.01	 0.04	 -45.60	 0.02	  9.50	 0.40	127.00	 9.00	           	   	  5	 20       	  5	J03494353+2342427	J034943.54+234242.2	  66453486350431232	DANCe J034943.53+234242.7                 	HD 23923
    1335	PLE   	HD 23935                   	F8           	03 49 52.94	+25 38 50.1	  18.00	 1.00	 -45.70	 0.60	  5.00	 1.00	140.00	 5.00	           	   	  5	100       	  5	J03495291+2538509	J034952.93+253850.3	  66980358578521856	                                          	HD 23935
    1336	PLE   	HD 23950                   	B8III        	03 49 55.09	+22 14 38.3	  20.17	 0.03	 -44.22	 0.01	  4.00	 3.00	133.00	 9.00	           	217	  5	 20       	  5	J03495506+2214390	J034955.07+221438.7	  64053561704835584	DANCe J034955.07+221438.9                 	HD 23950
    1337	PLE   	BD+22 574                  	F8           	03 49 56.52	+23 13 06.4	  20.00	 1.00	 -42.80	 0.40	  6.40	 0.90	151.00	 9.00	           	   	  5	 12       	  5	J03495648+2313071	J034956.51+231306.6	  64924409273987712	                                          	BD+22 574
    1338	PLE   	HD 23948                   	A0           	03 49 56.62	+24 20 55.7	  19.00	 0.30	 -44.40	 0.30	  5.00	 2.00	135.00	 6.00	           	   	  5	 80       	  5	J03495660+2420566	J034956.60+242055.9	  66558249192653952	DANCe J034956.60+242056.4                 	HD 23948
    1339	PLE   	HD 23964                   	B9.5V        	03 49 58.08	+23 50 54.6	  18.87	 0.05	 -45.98	 0.03	  7.00	 1.00	138.00	 8.00	           	260	  5	 20       	  5	J03495805+2350554	J034958.00+235053.9	  66507465499396224	DANCe J034958.05+235055.3                 	HD 23964
    1340	PLE   	HD 23975                   	G0           	03 50 17.69	+25 22 45.8	  19.00	 1.00	 -45.90	 0.50	  5.30	 0.80	136.00	 5.00	           	   	  5	100       	  5	J03501766+2522464	J035017.68+252245.9	  66960258131598720	                                          	HD 23975
    1341	PLE   	TYC 1800-669-1             	             	03 50 21.33	+23 05 46.2	  21.00	 2.00	 -46.40	 0.50	  7.40	 0.20	140.00	10.00	           	   	  5	100       	  5	J03502130+2305470	J035021.31+230546.3	  64172034082472448	                                          	TYC 1800-669-1
    1342	PLE   	TYC 1808-559-1             	             	03 50 21.33	+27 08 39.1	  20.00	 2.00	 -50.00	 1.00	  4.40	 0.20	121.00	 4.00	           	   	  5	100       	  5	J03502130+2708398	J035021.32+270839.3	  70506870326054656	                                          	TYC 1808-559-1
    1343	PLE   	HD 24132                   	F2V          	03 51 27.24	+24 31 06.5	  19.70	 0.10	 -45.36	 0.05	  9.00	 2.00	133.00	 5.00	           	   	  5	 20       	  5	J03512722+2431072	J035127.22+243106.6	  66657411397616128	                                          	HD 24132
    1344	PLE   	Cl Melotte 22 3097         	             	03 51 40.47	+24 58 58.7	  20.00	 2.00	 -46.90	 0.30	  3.80	 0.90	144.00	 9.00	           	   	  5	 12       	  5	J03514044+2458594	J035140.45+245858.9	  66863054431798272	                                          	Cl Melotte 22 3097
    1345	PLE   	TYC 1260-314-1             	             	03 51 42.11	+21 40 05.4	  18.00	 1.00	 -43.10	 0.70	  6.60	 0.20	139.00	 5.00	           	   	  5	100       	  5	J03514208+2140061	J035142.10+214005.6	  63730305286697600	                                          	TYC 1260-314-1
    1346	PLE   	HD 24194                   	G0V          	03 51 56.89	+23 54 06.4	  20.00	 1.00	 -47.00	 1.00	  6.90	 0.90	120.00	10.00	           	 99	  5	 12       	  5	J03515685+2354070	J035156.87+235406.5	  66471215975411200	                                          	HD 24194
    1347	PLE   	HD 24178                   	A0           	03 51 57.44	+25 59 55.2	  19.10	 0.30	 -47.30	 0.30	  8.00	 3.00	121.00	 9.00	           	   	  5	 34       	  5	J03515740+2559560	J035157.43+255955.4	  67369654414221952	                                          	HD 24178
    1348	PLE   	BD+19 605                  	             	03 52 00.83	+19 35 48.1	  17.30	 0.20	 -42.50	 0.10	  7.60	 0.40	148.00	 6.00	           	   	  5	 20       	  5	J03520080+1935487	J035200.82+193548.2	  50905051903831680	                                          	BD+19 605
    1349	PLE   	TYC 1800-1046-1            	             	03 53 23.73	+24 03 53.5	  20.00	 1.00	 -45.70	 0.60	  6.40	 0.30	136.00	 6.00	           	   	  5	100       	  5	J03532369+2403542	J035323.71+240353.6	  66570549979009280	                                          	TYC 1800-1046-1
    1350	PLE   	HD 24463                   	G0           	03 54 21.61	+24 04 31.8	  19.50	 0.90	 -45.70	 0.40	  4.00	 1.00	130.00	 4.00	           	   	  5	100       	  5	J03542159+2404323	J035421.60+240431.9	  65819961494790400	                                          	HD 24463
    1351	PLE   	V1289 Tau                  	G5IV         	03 54 25.26	+24 21 35.6	  18.00	 0.20	 -45.40	 0.10	  2.20	 0.80	134.00	 5.00	           	 12	  5	 12       	  5	J03542523+2421363	J035425.25+242135.8	  66581957412169728	                                          	V1289 Tau
    1352	PLE   	HIP 18266                  	             	03 54 27.85	+21 23 22.4	  19.20	 0.20	 -47.10	 0.10	  7.90	 0.30	134.00	 5.00	           	   	  5	 20       	  5	J03542782+2123231	J035427.84+212322.6	  51742467447748224	                                          	HIP 18266
    1353	PLE   	TYC 1261-1415-1            	             	03 55 31.96	+21 04 45.4	  22.00	 1.00	 -50.40	 0.60	  7.70	 0.20	122.00	 5.00	           	   	  5	100       	  5	J03553193+2104462	J035531.95+210445.6	  51674916201705344	                                          	TYC 1261-1415-1
    1354	PLE   	TYC 1261-1051-1            	             	03 56 11.14	+22 13 15.6	  22.30	 0.90	 -47.30	 0.50	  7.70	 0.50	131.00	 4.00	           	   	  5	100       	  5	J03561110+2213163	J035611.13+221315.7	  65309100904545280	                                          	TYC 1261-1051-1
    1355	PLE   	HD 24711                   	A0           	03 56 28.14	+23 09 00.3	  18.50	 0.10	 -45.71	 0.05	  7.00	 3.00	133.00	 5.00	           	   	  5	100       	  5	J03562812+2309009	J035628.13+230900.5	  65437640685532288	                                          	HD 24711
    1356	PLE   	2MASS J03580169+2040365    	F8           	03 58 01.72	+20 40 35.7	  20.72	 0.09	 -49.48	 0.04	 13.00	 4.00	130.00	 8.00	           	   	  5	  6       	  5	J03580169+2040365	J035801.71+204036.0	  51452746133437696	DANCe J035801.69+204036.5                 	2MASS J03580169+2040365
    1357	PLE   	HD 24899                   	B9V          	03 58 20.92	+24 04 51.4	  19.02	 0.08	 -45.22	 0.03	  8.00	 2.00	137.00	 8.00	           	   	  5	 20       	  5	J03582089+2404520	J035820.91+240451.5	  65776736943479808	DANCe J035820.90+240452.0                 	HD 24899
    1358	PLE   	TYC 1261-24-1              	             	03 58 21.64	+21 15 26.9	  17.80	 0.90	 -45.10	 0.50	  7.70	 0.30	138.00	 6.00	           	   	  5	100       	  5	J03582162+2115277	J035821.63+211527.1	  51694741770737152	                                          	TYC 1261-24-1
    1359	PLE   	BD+22 624                  	F5           	04 03 44.19	+22 56 38.8	  17.57	 0.09	 -44.81	 0.06	  5.00	 2.00	138.00	 7.00	           	   	  5	100       	  5	J04034416+2256395	J040344.18+225638.9	  53783848223326976	                                          	BD+22 624
    1360	CRA   	HR 7129                    	B3V          	18 56 40.50	-37 20 35.7	   9.10	 0.20	 -23.60	 0.30	  1.30	 0.80	132.00	 5.00	           	124	 16	 20       	 16	J18564050-3720354	J185640.50-372036.1	                   	                                          	HR 7129
    1361	CRA   	CrAPMS 4SE                 	G5IV         	18 57 20.85	-36 43 01.1	   4.00	 4.00	 -29.00	 4.00	  2.00	 1.00	146.00	 5.00	           	   	  5	264       	  5	J18572084-3643005	J185720.84-364300.8	6731064946631337984	                                          	CrAPMS 4SE
    1362	CRA   	CrAPMS 4NW                 	M0.5V        	18 57 18.00	-36 42 36.5	   3.00	 1.00	 -27.00	 1.00	 -2.00	 1.00	      	     	[COMPANION]	   	265	264       	   	J18571798-3642360	J185717.99-364236.3	6731065015350814464	                                          	CrAPMS 4NW
    1363	CRA   	CrAPMS 5                   	K5IV         	18 58 01.83	-36 53 45.7	   5.00	 1.00	 -27.00	 1.00	 -1.00	 1.00	      	     	           	   	265	264       	   	J18580182-3653451	J185801.82-365345.5	6730871505602089728	                                          	CrAPMS 5
    1364	CRA   	HBC 674                    	M1V          	19 00 01.58	-36 37 05.9	   2.00	 1.00	 -28.00	 1.00	 -2.00	 2.00	      	     	           	   	265	266       	   	J19000157-3637054	J190001.57-363705.8	6731268596800036352	[MR81] HA 6; CrAPMS 7                     	HBC 674
    1365	CRA   	HR 7169                    	B9V          	19 01 03.26	-37 03 39.7	   8.00	 3.00	 -29.00	 3.00	  1.00	 1.00	      	     	           	 30	 29	 30       	   	J19010325-3703392	J190103.24-370339.4	6730822302454142592	                                          	HR 7169
    1366	CRA   	S CrA                      	G0Ve         	19 01 08.60	-36 57 20.1	  -1.00	 1.00	 -16.00	 1.00	  0.00	 2.00	      	     	           	267	265	266       	   	J19010860-3657200	J190108.61-365720.6	6731210258259179136	                                          	S CrA
    1367	CRA   	CrAPMS 1                   	K1IV         	19 01 34.87	-37 00 57.0	   7.00	 1.00	 -30.00	 1.00	 -1.00	 1.00	      	     	           	268	265	264       	   	J19013485-3700565	J190134.86-370056.8	6731197231623324672	HBC 676                                   	CrAPMS 1
    1368	CRA   	HD 176386                  	B9V          	19 01 38.94	-36 53 27.0	   4.01	 0.05	 -28.47	 0.04	      	     	140.00	 7.00	           	 30	  5	          	  5	J19013892-3653264	J190138.97-365327.2	6731200598879155840	                                          	HD 176386
    1369	CRA   	TY CrA                     	B9e          	19 01 40.83	-36 52 34.3	   4.00	 1.00	 -31.00	 1.00	 -0.70	 0.50	      	     	           	269	265	270       	   	J19014081-3652337	J190140.82-365236.4	6731200701958370688	                                          	TY CrA
    1370	CRA   	CrAPMS 2                   	G5e          	19 02 01.98	-37 07 43.9	   4.00	 1.00	 -27.00	 1.00	 -1.00	 1.00	      	     	           	 30	265	264       	   	J19020197-3707435	J190201.98-370743.7	6719183142944505984	HBC 678                                   	CrAPMS 2
    1371	CRA   	CrAPMS 3                   	K2IV         	19 02 22.14	-36 55 41.4	   7.00	 1.00	 -27.00	 1.00	 -1.00	 1.00	      	     	           	268	265	264       	   	J19022213-3655409	J190222.13-365541.0	6731196613149505280	HBC 679                                   	CrAPMS 3
    1372	CRA   	{[MR81]} HA 16             	K6IVe        	19 09 45.93	-37 04 26.6	   6.00	 1.00	 -28.00	 1.00	 -1.50	 0.70	      	     	           	 30	265	 30       	   	J19094592-3704261	J190945.92-370426.4	6719035052475592576	                                          	{[MR81]} HA 16
    1373	IC2602	TYC 8960-1957-1            	             	10 28 31.19	-63 44 15.4	 -17.50	 0.80	  10.20	 0.50	 17.80	 0.40	156.00	 6.00	           	   	  5	100       	  5	J10283121-6344155	J102831.20-634415.4	5252077668171627648	[RSP95] 1                                 	TYC 8960-1957-1
    1374	IC2602	TYC 8964-165-1             	             	10 29 32.72	-63 49 15.4	 -17.70	 0.80	  11.20	 0.90	 17.60	 0.60	156.00	 6.00	           	   	  5	100       	  5	J10293275-6349156	J102932.73-634915.4	5251888517809705216	[RSP95] 3                                 	TYC 8964-165-1
    1375	IC2602	HD 307793                  	G5           	10 31 54.07	-63 48 51.9	 -17.30	 0.80	  12.30	 0.70	 17.10	 0.80	149.00	 5.00	           	 84	  5	100       	  5	J10315410-6348520	J103154.08-634851.9	5251880511990665216	[RSP95] 8                                 	HD 307793
    1376	IC2602	TYC 8965-25-1              	G5           	10 38 17.62	-64 08 06.3	 -17.00	 1.00	  11.00	 0.60	 15.30	 0.90	148.00	 6.00	           	   	  5	100       	  5	J10381765-6408064	J103817.64-640806.3	5239891677722958976	Cl* IC 2602 W 71                          	TYC 8965-25-1
    1377	IC2602	HD 92467                   	B9.5V        	10 38 51.34	-64 29 52.7	 -17.62	 0.04	  11.80	 0.05	 13.00	 1.00	143.00	 6.00	           	 24	  5	271       	  5	J10385139-6429522	J103851.38-642952.1	5239789148260273792	HIP 52116; IC 2602 18                     	HD 92467
    1378	IC2602	TYC 8961-383-1             	             	10 39 59.99	-63 15 10.8	 -17.20	 0.80	  11.20	 0.60	 17.80	 0.50	143.00	 5.00	           	   	  5	100       	  5	J10400003-6315110	J104000.01-631510.9	5253452057710889216	[RSP95] 45                                	TYC 8961-383-1
    1379	IC2602	HD 92783                   	B9V          	10 41 06.37	-64 28 27.6	 -17.33	 0.03	  10.92	 0.03	 21.00	 7.00	147.00	 7.00	           	 24	  5	 34       	  5	J10410641-6428278	J104106.38-642827.7	5239869103371472000	HIP 52293; IC 2602 29                     	HD 92783
    1380	IC2602	Theta Car                  	B0V          	10 42 57.40	-64 23 40.0	 -18.40	 0.20	  12.00	 0.20	 20.00	 1.00	140.00	 4.00	           	271	 16	 93       	 16	J10425739-6423400	J104257.40-642339.5	                   	HIP 52419; HD 93030; IC 2602 37           	Theta Car
    1381	IC2602	V561 Car                   	G0           	10 44 59.58	-65 02 18.9	 -16.50	 0.80	  10.50	 0.80	 16.00	 1.00	147.00	 6.00	           	 84	  5	100       	  5	J10445962-6502190	J104459.60-650219.0	5239701565287189120	IC 2602 120                               	V561 Car
    1382	IC2602	HD 93424                   	A2V          	10 45 33.91	-64 42 13.6	 -18.80	 0.40	  10.60	 0.50	 12.00	 2.00	147.00	 6.00	           	 24	  5	271       	  5	J10453396-6442138	J104533.92-644213.6	5239801689564803072	                                          	HD 93424
    1383	UCRA  	RX J1839.0-3726            	K1           	18 39 05.29	-37 26 22.3	   0.00	 1.00	 -29.00	 1.00	 -5.00	 2.00	      	     	           	 12	265	 12       	   	J18390529-3726217	J183905.28-372622.0	6730059374535019520	                                          	RX J1839.0-3726
    1384	UCRA  	RX J1841.8-3525            	G7V          	18 41 48.56	-35 25 44.1	   0.00	 1.00	 -28.00	 2.00	 -2.00	 1.00	155.00	 6.00	           	 30	  5	 30       	  5	J18414855-3525437	J184148.56-352543.9	6733697211827236480	                                          	RX J1841.8-3525
    1385	UCRA  	RX J1842.9-3532            	K2           	18 42 57.98	-35 32 43.2	   0.00	 4.00	 -28.00	 4.00	 -6.00	 2.00	146.00	 7.00	           	 12	  5	 12       	  5	J18425797-3532427	J184257.98-353243.1	6733646359416723328	                                          	RX J1842.9-3532
    1386	UCRA  	HR 7029                    	B2V          	18 44 19.36	-35 38 31.2	  -0.70	 0.20	 -27.20	 0.30	  4.00	 2.00	143.00	 5.00	           	124	 16	 69       	 16	J18441936-3538311	J184419.35-353831.0	                   	                                          	HR 7029
    1387	UCRA  	RX J1844.3-3541            	K5           	18 44 21.93	-35 41 44.0	   1.00	 1.00	 -31.00	 1.00	  1.00	 2.00	      	     	           	 12	265	 12       	   	J18442192-3541435	J184421.92-354143.8	6733632684244320000	                                          	RX J1844.3-3541
    1388	UCRA  	RX J1845.5-3750            	G7IV         	18 45 34.44	-37 50 23.8	   2.00	 1.00	 -26.00	 2.00	  0.00	 3.00	      	     	           	 30	139	 30       	   	J18453485-3750195	J184534.85-375019.7	6730127200658465152	                                          	RX J1845.5-3750
    1389	UCRA  	HIP 92188                  	B9V          	18 47 19.04	-37 32 55.7	   2.50	 0.60	 -28.60	 0.80	      	     	170.00	20.00	           	124	 16	          	 16	J18471904-3732552	J184719.03-373255.5	6730228527519546496	                                          	HIP 92188
    1390	UCRA  	RX J1852.3-3700            	K7V          	18 52 17.30	-37 00 12.4	   2.50	 0.90	 -28.70	 0.90	 -1.00	 2.00	      	     	           	167	265	 12       	   	J18521730-3700119	J185217.30-370012.2	6731011311079241088	                                          	RX J1852.3-3700
    1391	UCRA  	RX J1853.1-3609            	K0IV(e)      	18 53 05.97	-36 10 22.7	   4.00	 1.00	 -25.00	 1.00	 -5.10	 0.80	      	     	           	 30	139	 12       	   	J18530598-3610228	J185305.98-361023.0	                   	                                          	RX J1853.1-3609
    1392	UCRA  	RX J1917.4-3756            	K0IVe        	19 17 23.81	-37 56 50.4	   8.00	 2.00	 -26.00	 2.00	 -2.40	 0.70	      	     	           	 30	 29	 12       	   	J19172382-3756504	J191723.82-375650.7	                   	                                          	RX J1917.4-3756
    1393	IC2391	TYC 8568-407-1             	G5           	08 34 20.47	-52 50 04.6	 -20.00	 1.00	  22.00	 1.00	 16.90	 0.90	148.00	 6.00	           	272	  5	126       	  5	J08342051-5250049	J083420.48-525004.6	5321225473403915136	                                          	TYC 8568-407-1
    1394	IC2391	IC 2391 D 41               	G8           	08 37 51.53	-53 45 45.4	 -26.00	 1.00	  23.00	 0.60	 14.60	 0.90	152.00	 6.00	           	272	  5	273       	  5	J08375156-5345458	J083751.54-534545.5	5318077502894130944	                                          	2MASS J08375156-5345458
    1395	IC2391	HD 73904                   	A2Vn         	08 38 23.88	-53 43 18.1	 -24.74	 0.05	  24.33	 0.05	 21.00	 7.00	143.00	 5.00	           	 24	  5	 34       	  5	J08382390-5343184	J083823.88-534318.1	5318077915210988928	                                          	HD 73904
    1396	IC2391	HW Vel                     	B5V          	08 39 23.81	-53 26 22.9	 -24.22	 0.03	  23.28	 0.03	 15.00	 4.00	140.00	10.00	           	 24	  5	 20       	  5	J08392384-5326230	J083923.82-532622.9	5318113546259668864	                                          	HW Vel
    1397	IC2391	HD 74145                   	A7-8III-IV   	08 40 01.61	-52 42 12.2	 -24.10	 0.60	  23.40	 0.60	 22.00	 5.00	140.00	 5.00	           	157	  5	 69       	  5	J08400164-5242126	J084001.61-524212.3	5318567953805446400	                                          	HD 74145
    1398	IC2391	V365 Vel                   	G0           	08 40 06.19	-53 38 06.7	 -23.00	 1.00	  20.30	 0.70	 12.00	 1.00	154.00	 6.00	           	272	  5	100       	  5	J08400624-5338069	J084006.21-533806.6	5318096125872352768	                                          	V365 Vel
    1399	IC2391	IC 2391 D 99               	G6           	08 40 49.06	-53 37 45.1	 -24.20	 0.80	  23.30	 0.60	 14.00	 0.40	148.00	 5.00	           	272	  5	100       	  5	J08404910-5337453	J084049.07-533745.1	5318093239654329472	                                          	2MASS J08404910-5337453
    1400	IC2391	TYC 8573-579-1             	F8V          	08 41 01.22	-54 31 01.9	 -26.00	 1.00	  24.90	 0.50	 14.60	 0.40	139.00	 5.00	           	274	  5	275       	  5	J08410126-5431022	J084101.22-543102.0	5317797574106967552	                                          	TYC 8573-579-1
    1401	IC2391	HD 74561                   	F3V          	08 42 18.17	-53 54 07.9	 -24.70	 0.10	  23.50	 0.10	 22.00	 3.00	152.00	 5.00	           	 24	  5	100       	  5	J08421822-5354082	J084218.18-535407.9	5317887321743547264	                                          	HD 74561
    1402	IC2391	IC 2391 PMM 756            	G9           	08 43 00.36	-53 54 07.2	 -22.00	 1.00	  21.70	 0.70	 12.00	 2.00	158.00	 8.00	           	272	  5	 38       	  5	J08430040-5354076	J084300.38-535407.3	5317884435525524224	                                          	2MASS J08430040-5354076
